route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-FKN-F-mjp-1","T0","9975.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9979.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9983.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9986.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9990.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9998.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","77.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","103.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","107.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","158.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","114.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","121.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","136.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","164.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","129.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","170.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","172.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","174.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","188.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","196.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","203.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","205.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9888.T0.2-FKN-F-mjp-1.21.R","2-FKN-F-mjp-1.21.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","535.T0.2-FKN-F-mjp-1.22.R","2-FKN-F-mjp-1.22.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","561.T0.2-FKN-F-mjp-1.22.R","2-FKN-F-mjp-1.22.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","538.T0.2-FKN-F-mjp-1.22.R","2-FKN-F-mjp-1.22.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","550.T0.2-FKN-F-mjp-1.22.R","2-FKN-F-mjp-1.22.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","541.T0.2-FKN-F-mjp-1.22.R","2-FKN-F-mjp-1.22.R","City (Flinders Street)","1"
